"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","total_type","school_phase","estimated_course_starts_by_pupils","total_schools","total_schools_participating","percentage_schools_participating"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","201","E09000001","City of London","Total in academic year","All",72,"1","1","100"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","306","E09000008","Croydon","Total in academic year","All",6861,"120","89","74.2"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","307","E09000009","Ealing","Total in academic year","All",6114,"91","68","74.7"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","308","E09000010","Enfield","Total in academic year","All",5466,"97","71","73.2"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","203","E09000011","Greenwich","Total in academic year","All",4571,"84","63","75"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","204","E09000012","Hackney","Total in academic year","All",5583,"79","58","73.4"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","205","E09000013","Hammersmith and Fulham","Total in academic year","All",2870,"55","39","70.9"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","309","E09000014","Haringey","Total in academic year","All",5034,"82","61","74.4"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","310","E09000015","Harrow","Total in academic year","All",3710,"59","45","76.3"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","311","E09000016","Havering","Total in academic year","All",4954,"81","51","63"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","312","E09000017","Hillingdon","Total in academic year","All",5588,"98","73","74.5"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","313","E09000018","Hounslow","Total in academic year","All",3228,"77","50","64.9"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","206","E09000019","Islington","Total in academic year","All",5070,"65","54","83.1"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","207","E09000020","Kensington and Chelsea","Total in academic year","All",2151,"37","28","75.7"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","314","E09000021","Kingston upon Thames","Total in academic year","All",1471,"50","34","68"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","208","E09000022","Lambeth","Total in academic year","All",6807,"86","68","79.1"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","209","E09000023","Lewisham","Total in academic year","All",4674,"84","64","76.2"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","315","E09000024","Merton","Total in academic year","All",2936,"57","41","71.9"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","316","E09000025","Newham","Total in academic year","All",6859,"94","70","74.5"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","317","E09000026","Redbridge","Total in academic year","All",4246,"79","57","72.2"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","318","E09000027","Richmond upon Thames","Total in academic year","All",1670,"59","41","69.5"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","210","E09000028","Southwark","Total in academic year","All",7073,"104","74","71.2"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","319","E09000029","Sutton","Total in academic year","All",2758,"62","42","67.7"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","211","E09000030","Tower Hamlets","Total in academic year","All",6287,"91","66","72.5"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","320","E09000031","Waltham Forest","Total in academic year","All",3720,"75","60","80"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","212","E09000032","Wandsworth","Total in academic year","All",3656,"83","59","71.1"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","213","E09000033","Westminster","Total in academic year","All",3176,"53","38","71.7"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","840","E06000047","County Durham","Total in academic year","All",7604,"252","140","55.6"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","841","E06000005","Darlington","Total in academic year","All",1784,"40","28","70"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","Total in academic year","All",2850,"84","47","56"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","805","E06000001","Hartlepool","Total in academic year","All",2278,"38","25","65.8"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","806","E06000002","Middlesbrough","Total in academic year","All",4962,"57","40","70.2"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","391","E08000021","Newcastle upon Tyne","Total in academic year","All",7971,"97","76","78.4"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","392","E08000022","North Tyneside","Total in academic year","All",2663,"78","45","57.7"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","929","E06000057","Northumberland","Total in academic year","All",4920,"168","106","63.1"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","807","E06000003","Redcar and Cleveland","Total in academic year","All",3739,"59","42","71.2"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","393","E08000023","South Tyneside","Total in academic year","All",1860,"58","26","44.8"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","808","E06000004","Stockton-on-Tees","Total in academic year","All",4519,"78","58","74.4"
202223,2023,"January","Local authority","E92000001","England","E12000001","North East","394","E08000024","Sunderland","Total in academic year","All",4470,"109","63","57.8"
202223,2023,"January","Local authority","E92000001","England","E12000002","North West","889","E06000008","Blackburn with Darwen","Total in academic year","All",3397,"72","52","72.2"
202223,2023,"January","Local authority","E92000001","England","E12000002","North West","890","E06000009","Blackpool","Total in academic year","All",2384,"44","33","75"
202223,2023,"January","Local authority","E92000001","England","E12000002","North West","350","E08000001","Bolton","Total in academic year","All",6888,"127","98","77.2"
202223,2023,"January","Local authority","E92000001","England","E12000002","North West","351","E08000002","Bury","Total in academic year","All",2089,"81","54","66.7"
202223,2023,"January","Local authority","E92000001","England","E12000002","North West","895","E06000049","Cheshire East","Total in academic year","All",3894,"156","95","60.9"
202223,2023,"January","Local authority","E92000001","England","E12000002","North West","896","E06000050","Cheshire West and Chester","Total in academic year","All",4741,"161","105","65.2"
202223,2023,"January","Local authority","E92000001","England","E12000002","North West","909","E10000006","Cumbria","Total in academic year","All",6187,"315","197","62.5"
202223,2023,"January","Local authority","E92000001","England","E12000002","North West","876","E06000006","Halton","Total in academic year","All",4006,"62","48","77.4"
